station_id,start_date,end_date,prop_missing_data,q_uncert_num_curves,q_uncert_n,q_uncert_q10,q_uncert_q10_upper,q_uncert_q10_lower,q_uncert_q50,q_uncert_q50_upper,q_uncert_q50_lower,q_uncert_q90,q_uncert_q90_upper,q_uncert_q90_lower
613146,19610311,20141231,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
614044,19540513,20141231,0.0387845403648185,2,20149,0,n/a,n/a,0.002799782,n/a,n/a,0.295081037,13.51%,-12.54%
616002,19680615,20141231,0.00311746367860714,2,15926,0,n/a,n/a,0,n/a,n/a,0.032737113,32.08%,-25.42%
616013,19720329,20141231,0.00595466769112562,1,14512,0.002220149,32.09%,-26.10%,0.003990531,26.32%,-22.16%,0.02617333,14.48%,-13.13%
616065,19530102,20141021,0.213396535684225,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
803003,19671111,19990813,0.0370721613932236,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
804001,19671020,20141231,0.0439095127610209,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
809310,19671213,20141231,0.0711043872919818,1,14166,0,n/a,n/a,0,n/a,n/a,0.239867652,42.27%,-33.28%
G8110004,19630108,20141231,0.0600969135152217,1,10492,0,n/a,n/a,0.067523125,85.96%,-59.05%,1.036847577,20.03%,-18.16%
G8110016,19731221,20141231,0.0724009075136794,1,8166,0,n/a,n/a,0.006374654,178.34%,-100%,0.518383556,12.36%,-10.59%
G8140001,19611218,20141231,0.03737352880446,1,17712,0.006978117,n/a,n/a,0.045842648,34.79%,-26.36%,2.002981184,24.44%,-19.96%
G8140040,19691208,20141231,0.026913730255164,5,15008,0.030211434,16.21%,-14.11%,0.069419777,25.42%,-20.95%,1.458127066,13.95%,-12.42%
G8140161,19730112,20141231,0.103594494096158,3,12321,0.01412741,177.46%,-70.16%,0.087239864,50.32%,-38.83%,1.539941733,10.81%,-10.19%
G8150018,19670204,20141231,0.0535489770259458,4,8980,0.014247946,277.86%,-31.27%,0.629031283,51.08%,-32.74%,8.812569343,20.49%,-16.71%
G8170002,19641029,20141231,0.0386882025537488,3,16703,0.008402807,172.07%,-46.40%,0.071794406,88.81%,-44.23%,2.869895882,41.25%,-29.01%
G8190001,19760717,20110119,0.0394287980959937,2,6458,0.000227991,n/a,n/a,0.220828684,36.97%,-29.28%,5.780601179,16.37%,-14.00%
G8200045,19580819,20100608,0.0555438114364232,4,17548,0.004784818,210.80%,-84.03%,0.065010742,44.99%,-35.07%,3.200273883,11.36%,-10.38%
G8210010,19711104,20140321,0.257897797015311,1,11076,0.008605946,49.62%,-32.73%,0.059349184,26.87%,-21.03%,4.3017151,7.61%,-7.05%
302214,19790524,20141231,0.148393049361833,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
304497,19640508,20141231,0.00151351351351351,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
304499,19650319,20141231,0.0120978828704977,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
305202,19750315,20141231,0.000412739905069822,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
307473,19640228,20141231,0.0108239095315024,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
308145,19530412,20141231,0.0223119233498935,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
308799,19801220,20141231,0.0209975864843121,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
312061,19510101,20141231,0.00628850102669405,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
314207,19630620,20141231,0.0116878287201828,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
314213,19680530,20141231,0.0172180760416055,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
315450,19621214,20141231,0.00236705065488401,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
318076,19510101,20141231,0.00491957563312799,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
